23469	88.00	0.66	0.83	48.27	0.25	1.003	0.000	1	60
23470	89.47	0.74	1.39	48.55	0.27	1.003	0.000	1	34
23471	88.48	0.78	0.76	48.40	0.30	1.003	0.000	1	35
23472	89.60	0.77	1.00	49.15	0.28	1.003	0.000	1	35
23473	88.60	0.96	1.28	49.06	0.35	1.003	0.000	1	26
23474	87.25	1.19	1.11	48.06	0.46	1.003	0.000	1	21
23475	89.34	0.82	0.75	49.22	0.29	1.003	0.000	1	39
23476	88.81	0.83	1.13	48.64	0.31	1.003	0.000	1	27
23477	87.89	0.68	1.19	48.46	0.25	1.003	0.000	1	38
23478	87.37	0.84	0.95	48.46	0.32	1.003	0.000	1	24
23479	90.69	4.13	1.12	48.25	1.56	1.003	0.000	1	2
23483	89.16	0.37	1.12	48.68	0.14	1.003	0.000	1	116
23484	88.57	0.62	1.19	48.87	0.23	1.003	0.000	1	45
23485	88.00	0.72	1.15	48.48	0.27	1.003	0.000	1	31
23486	89.42	0.67	0.91	48.96	0.24	1.003	0.000	1	36
23487	88.90	0.70	1.03	48.89	0.26	1.003	0.000	1	35
23488	89.91	0.72	1.24	49.26	0.26	1.003	0.000	1	33
23489	90.14	0.70	1.18	48.94	0.25	1.003	0.000	1	35
23490	89.94	1.07	0.89	48.37	0.40	1.003	0.000	1	14
23491	88.16	0.76	1.73	48.43	0.29	1.003	0.000	1	29
23492	88.13	0.69	0.85	48.63	0.26	1.003	0.000	1	36
23493	89.28	0.74	1.43	48.79	0.27	1.003	0.000	1	31
23494	89.15	0.69	0.89	48.84	0.25	1.003	0.000	1	35
23495	88.31	1.63	1.14	49.28	0.59	1.003	0.000	1	7
23496	88.08	2.11	1.02	49.08	0.78	1.003	0.000	1	5
23497	88.48	0.77	1.17	48.65	0.29	1.003	0.000	1	31
23498	88.76	0.72	1.11	49.03	0.26	1.003	0.000	1	36
23505	88.42	0.67	0.81	49.25	0.25	1.003	0.000	1	40
23506	89.66	0.70	0.56	49.51	0.25	1.003	0.000	1	35
23507	87.83	0.73	1.40	48.79	0.27	1.003	0.000	1	31
23508	88.05	0.86	1.15	49.30	0.32	1.003	0.000	1	23
23510	88.65	0.70	1.10	49.41	0.26	1.003	0.000	1	35
23511	89.18	0.70	1.00	49.31	0.26	1.003	0.000	1	35
23512	88.27	0.70	1.17	49.18	0.26	1.003	0.000	1	36
23513	87.93	0.69	0.90	49.04	0.26	1.003	0.000	1	36
23514	89.95	0.71	1.28	49.47	0.26	1.003	0.000	1	35
23515	88.89	0.72	1.04	49.51	0.26	1.003	0.000	1	35
23516	88.14	0.68	1.69	49.10	0.25	1.003	0.000	1	36
23517	88.75	0.76	1.29	49.39	0.28	1.003	0.000	1	32
23518	88.83	1.24	0.99	49.23	0.46	1.003	0.000	1	11
23522	90.45	1.26	1.05	49.33	0.45	1.003	0.000	1	9
23523	89.00	0.50	1.38	49.95	0.18	1.003	0.000	1	57
23524	87.44	0.58	1.04	49.51	0.22	1.003	0.000	1	44
23525	89.03	0.68	1.51	49.43	0.25	1.003	0.000	1	31
23526	85.72	1.18	1.33	48.58	0.47	1.003	0.000	1	12
23528	88.58	0.68	1.39	49.39	0.25	1.003	0.000	1	34
23529	89.49	0.68	1.31	49.73	0.24	1.003	0.000	1	35
23530	88.93	0.69	0.75	49.22	0.26	1.003	0.000	1	36
